X	Y
-10.000000 -9.765995
-9.969970 -6.374653
-9.939940 -8.579002
-9.909910 -4.869046
-9.879880 -6.194095
-9.849850 -6.807575
-9.819820 -7.567727
-9.789790 -4.276363
-9.759760 -4.697760
-9.729730 -5.137833
-9.699700 -8.555476
-9.669670 -4.429126
-9.639640 -5.302440
-9.609610 -6.466901
-9.579580 -7.706804
-9.549550 -9.423527
-9.519520 -8.947680
-9.489489 -7.292047
-9.459459 -8.577544
-9.429429 -8.448692
-9.399399 -3.495596
-9.369369 -6.735254
-9.339339 -8.677571
-9.309309 -9.346716
-9.279279 -9.303926
-9.249249 -7.072775
-9.219219 -6.132741
-9.189189 -5.878274
-9.159159 -5.677459
-9.129129 -5.627711
-9.099099 -8.255961
-9.069069 -5.257759
-9.039039 -6.513958
-9.009009 -7.088618
-8.978979 -8.841781
-8.948949 -5.520571
-8.918919 -4.449429
-8.888889 -4.316365
-8.858859 -5.995368
-8.828829 -7.285626
-8.798799 -3.824152
-8.768769 -4.702594
-8.738739 -3.309909
-8.708709 -3.473668
-8.678679 -5.774516
-8.648649 -8.139270
-8.618619 -6.203477
-8.588589 -7.546655
-8.558559 -3.767849
-8.528529 -7.666342
-8.498498 -4.228672
-8.468468 -3.827350
-8.438438 -2.891161
-8.408408 -2.856428
-8.378378 -5.168263
-8.348348 -6.465296
-8.318318 -7.205306
-8.288288 -7.001561
-8.258258 -3.727043
-8.228228 -8.608109
-8.198198 -6.478036
-8.168168 -8.160152
-8.138138 -4.635322
-8.108108 -8.343928
-8.078078 -8.611145
-8.048048 -3.133801
-8.018018 -6.973881
-7.987988 -6.974488
-7.957958 -5.067078
-7.927928 -4.430092
-7.897898 -3.534187
-7.867868 -4.183557
-7.837838 -5.615543
-7.807808 -7.275686
-7.777778 -4.028086
-7.747748 -5.662410
-7.717718 -5.708062
-7.687688 -2.743552
-7.657658 -3.954523
-7.627628 -7.754135
-7.597598 -4.792188
-7.567568 -6.057726
-7.537538 -3.941753
-7.507508 -4.680663
-7.477477 -4.882693
-7.447447 -6.131751
-7.417417 -7.373118
-7.387387 -6.914483
-7.357357 -5.696852
-7.327327 -3.413149
-7.297297 -5.110463
-7.267267 -2.255819
-7.237237 -3.669128
-7.207207 -6.087717
-7.177177 -7.129859
-7.147147 -4.182561
-7.117117 -5.157685
-7.087087 -7.710494
-7.057057 -3.875840
-7.027027 -5.028216
-6.996997 -7.154742
-6.966967 -2.324880
-6.936937 -7.155590
-6.906907 -2.556997
-6.876877 -3.813013
-6.846847 -6.134736
-6.816817 -5.376348
-6.786787 -7.496099
-6.756757 -2.101339
-6.726727 -3.784553
-6.696697 -6.946939
-6.666667 -2.585474
-6.636637 -2.901582
-6.606607 -4.322032
